datetime,EURUSD,cash,commission,total,returns,equity_curve,drawdown
2019-04-30 23:00:00+00:00,0.0,1000.0,0.0,1000.0,,,
2019-04-30 23:00:00+00:00,0.0,1000.0,0.0,1000.0,0.0,1.0,0.0
2019-04-30 23:15:00+00:00,0.0,1000.0,0.0,1000.0,0.0,1.0,0.0
2019-04-30 23:30:00+00:00,0.0,1000.0,0.0,1000.0,0.0,1.0,0.0
2019-04-30 23:45:00+00:00,0.0,1000.0,0.0,1000.0,0.0,1.0,0.0
2019-05-01 00:00:00+00:00,0.0,1000.0,0.0,1000.0,0.0,1.0,0.0
2019-05-01 00:15:00+00:00,0.0,1000.0,0.0,1000.0,0.0,1.0,0.0
2019-05-01 00:30:00+00:00,0.0,1000.0,0.0,1000.0,0.0,1.0,0.0
2019-05-01 00:45:00+00:00,0.0,1000.0,0.0,1000.0,0.0,1.0,0.0
2019-05-01 01:00:00+00:00,0.0,1000.0,0.0,1000.0,0.0,1.0,0.0
2019-05-01 01:15:00+00:00,0.0,1000.0,0.0,1000.0,0.0,1.0,0.0
2019-05-01 01:30:00+00:00,0.0,1000.0,0.0,1000.0,0.0,1.0,0.0
2019-05-01 01:45:00+00:00,0.0,1000.0,0.0,1000.0,0.0,1.0,0.0
2019-05-01 02:00:00+00:00,0.0,1000.0,0.0,1000.0,0.0,1.0,0.0
2019-05-01 02:15:00+00:00,0.0,1000.0,0.0,1000.0,0.0,1.0,0.0
2019-05-01 02:30:00+00:00,0.0,1000.0,0.0,1000.0,0.0,1.0,0.0
2019-05-01 02:45:00+00:00,0.0,1000.0,0.0,1000.0,0.0,1.0,0.0
2019-05-01 03:00:00+00:00,0.0,1000.0,0.0,1000.0,0.0,1.0,0.0
2019-05-01 03:15:00+00:00,0.0,1000.0,0.0,1000.0,0.0,1.0,0.0
2019-05-01 03:30:00+00:00,0.0,1000.0,0.0,1000.0,0.0,1.0,0.0
2019-05-01 03:45:00+00:00,0.0,1000.0,0.0,1000.0,0.0,1.0,0.0
2019-05-01 04:00:00+00:00,0.0,1000.0,0.0,1000.0,0.0,1.0,0.0
2019-05-01 04:15:00+00:00,0.0,1000.0,0.0,1000.0,0.0,1.0,0.0
2019-05-01 04:30:00+00:00,0.0,1000.0,0.0,1000.0,0.0,1.0,0.0
2019-05-01 04:45:00+00:00,0.0,1000.0,0.0,1000.0,0.0,1.0,0.0
2019-05-01 05:00:00+00:00,0.0,1000.0,0.0,1000.0,0.0,1.0,0.0
2019-05-01 05:15:00+00:00,0.0,1000.0,0.0,1000.0,0.0,1.0,0.0
2019-05-01 05:30:00+00:00,-1121.8600000000001,2121.76,0.0,999.9000000000001,-9.999999999987796e-05,0.9999000000000001,9.999999999987796e-05
